GENDER,MARITAL_STATUS,LOANTYPE,PAYMENT_TYPE,APPLY_TERM_TIME,AGE,MONTHLY_INCOME_WHITHOUT_TAX,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_INTEREST_RATE,Label
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,28,12000.0,1504780.41,620000.0,4.158,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,28,7000.0,749673.87,190000.0,5.0489999999999995,0
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,28,12000.0,1161559.81,500000.0,4.158,0
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,29,7000.0,373143.0,260000.0,6.6555,1
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,29,5500.0,710303.18,190000.0,4.032,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,7000.0,704478.01,300000.0,5.0489999999999995,0
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,8000.0,747644.32,270000.0,4.158,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,6000.0,575755.0,180000.0,6.6555,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,10000.0,572140.0,400000.0,6.6555,1
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,29,5000.0,212733.0,170000.0,6.6555,1
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,10000.0,654066.76,150000.0,4.158,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,12000.0,1052759.31,480000.0,4.158,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,9600.0,457470.0,320000.0,5.814,1
Female,Unknown,Frist-Hand,Matching_The_Principal_Repayment,120,29,10000.0,1195529.79,520000.0,5.0489999999999995,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,29,8000.0,650313.0,450000.0,6.579,1
Female,Single,Frist-Hand,Matching_The_Principal_Repayment,120,30,6500.0,297170.96,140000.0,4.158,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,30,4000.0,267687.0,70000.0,7.2063,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,30,2500.0,473082.84,150000.0,4.158,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,30,13800.0,1121939.92,540000.0,4.158,0
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,30,18000.0,877438.0,700000.0,6.6555,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,30,6000.0,616621.0,250000.0,5.814,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,30,8000.0,620114.98,320000.0,5.0489999999999995,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,30,23000.0,984615.8,440000.0,5.0489999999999995,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,31,6000.0,374295.6,195000.0,4.158,0
Female,Married,Second-Hand,Matching_The_Principal_Repayment,120,31,4600.0,274536.0,70000.0,5.346,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,31,20000.0,1338930.0,350000.0,5.0489999999999995,0
Female,Unknown,Second-Hand,Matching_The_Principal_Repayment,120,31,4500.0,217438.0,100000.0,6.5025,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,31,12000.0,619084.0,490000.0,6.6555,1
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,31,5500.0,321989.0,225000.0,5.346,1
Male,Single,Second-Hand,Matching_The_Principal_Repayment,120,31,15000.0,1524975.27,300000.0,4.158,0
Male,Single,Frist-Hand,Matching_The_Principal_Repayment,120,31,10000.0,1053982.52,360000.0,4.158,0
Male,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,31,15000.0,994104.9,360000.0,4.158,0
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,31,15000.0,805712.96,340000.0,5.0489999999999995,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,31,8000.0,1130435.58,500000.0,4.158,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,31,4800.0,320000.0,100000.0,5.0489999999999995,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,31,5000.0,626235.0,280000.0,5.0489999999999995,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,32,3100.0,284154.3,60000.0,5.346,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,32,19000.0,1306557.64,560000.0,4.158,0
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,12000.0,1127193.04,510000.0,4.158,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,15000.0,1246304.82,520000.0,4.158,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,4600.0,599361.59,280000.0,4.158,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,20000.0,377472.0,260000.0,6.6555,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,20000.0,378608.0,260000.0,6.6555,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,32,8200.0,391015.0,280000.0,6.6555,1
Female,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,12000.0,1111065.09,490000.0,5.0489999999999995,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,32,16000.0,969173.12,410000.0,5.0489999999999995,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,8000.0,745083.0,370000.0,5.814,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,19000.0,857606.0,600000.0,6.6555,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,12850.0,1464685.74,310000.0,5.0489999999999995,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,8500.0,463771.26,190000.0,4.158,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,32,30000.0,3148049.49,1350000.0,4.158,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,32,0.0,935026.89,410000.0,4.158,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,32,19000.0,1066194.7,490000.0,4.158,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,32,20.0,1107710.0,650000.0,6.12,1
Male,Married,Second-Hand,Matching_The_Principal_Repayment,120,33,12000.0,1024357.48,260000.0,4.158,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,33,10000.0,607707.0,480000.0,4.284,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,33,8500.0,670716.0,370000.0,4.158,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,33,10000.0,915281.0,300000.0,5.0489999999999995,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,33,8000.0,1068454.0,740000.0,6.12,1
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,33,20000.0,1060623.0,830000.0,6.0435,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,33,6500.0,442980.0,220000.0,6.579,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,33,60000.0,1207042.83,700000.0,8.6928,1
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,33,25000.0,673888.0,400000.0,6.6555,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,34,11000.0,601513.0,480000.0,5.0489999999999995,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,34,28000.0,616820.0,430000.0,6.12,1
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,34,15000.0,334833.0,267000.0,6.12,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,34,11500.0,1501639.42,400000.0,4.158,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,34,15000.0,1108656.0,400000.0,5.814,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,34,30000.0,1751274.0,1200000.0,6.6555,1
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,34,8000.0,521663.0,410000.0,5.814,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,34,8000.0,1198112.52,560000.0,5.0489999999999995,0
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,34,7200.0,767654.02,300000.0,4.158,0
Female,Single,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,35,3500.0,451867.18,190000.0,4.158,0
Female,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,35,4500.0,408232.87,150000.0,5.346,0
Female,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,35,25000.0,1265189.95,480000.0,4.158,0
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,35,25000.0,1068288.0,640000.0,6.6555,1
Female,Unknown,Frist-Hand,Matching_The_Principal_Repayment,120,35,12000.0,1043505.75,420000.0,4.158,0
Female,Single,Frist-Hand,Matching_The_Principal_Repayment,120,35,30000.0,753238.7,320000.0,5.0489999999999995,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,35,8200.0,725732.58,380000.0,4.032,0
Female,Unknown,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,35,20000.0,2061843.84,840000.0,5.0489999999999995,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,35,5300.0,180999.0,120000.0,6.6555,1
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,36,5600.0,375200.0,100000.0,7.2063,1
Female,Married,Frist-Hand,Matching_The_Principal_Repayment,120,36,8000.0,1138614.28,530000.0,4.158,0
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,36,13800.0,1243774.5,540000.0,4.158,0
Male,Married,Second-Hand,Average_Capital_Plus_Interest_Repayment,120,36,8500.0,1337206.0,830000.0,5.202000000000001,1
Male,Married,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,36,15000.0,563835.0,400000.0,5.751,1
Female,Married,Second-Hand,Matching_The_Principal_Repayment,120,36,15000.0,305646.0,200000.0,6.12,1
Male,Single,Frist-Hand,Average_Capital_Plus_Interest_Repayment,120,36,6500.0,419772.63,150000.0,4.158,0
Male,Married,Frist-Hand,Matching_The_Principal_Repayment,120,36,12000.0,1492236.71,619000.0,4.158,0
